Kelas,teks_stemming
Kabar Insan Oke ,"['rangka', 'ikut', 'kembang', 'teknologi', 'tinggal', 'zaman', 'organisasi', 'harap', 'adaptasi', 'ubah', 'ubah', 'cepat', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'selenggara', 'employee', 'innovation', 'challenge', 'untuk', 'gali', 'inovasi', 'inovasi', 'ide', 'ide', 'fresh', 'pegawai', 'juara', 'challenge', 'selamat', 'juara', 'employee', 'innovation', 'challenge', 'moga', 'pacu', 'semangat', 'cipta', 'inovasi', 'inovasi', 'ide', 'ide', 'maju', 'bdi', 'denpasar', 'depan']"
Agenda,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'pt', 'mocca', 'multi', 'talenta', 'provinsi', 'jawa', 'timur',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'delapan', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'februari', 'maret', 'tempat', 'gedung', 'mocca', 'animation', 'studio', 'kota', 'malang', 'jawa', 'timur', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
pengumuman,"['bentuk', 'tim', 'tangguh', 'tentu', 'faktor', 'kuat', 'personal', 'tim', 'rangka', 'bentuk', 'personal', 'personal', 'tim', 'karakter', 'fisik', 'mental', 'emosional', 'motivasi', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'inkubasi', 'bisnis', 'tohpati', 'selenggara', 'character', 'building', 'startup', 'selasa']"
pengumuman,"['sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'pt', 'solusi', 'semesta', 'rekakreasi', 'provinsi', 'jawa', 'barat',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'februari', 'maret', 'tempat', 'kampus', 'politeknik', 'ssr', 'kab', 'bogor', 'jawa', 'barat', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Kabar Insan Oke ,"['sobat', 'kreatif', 'tunggu', 'buka', 'diklat', 'in', 'animasi', 'sleman', 'malang', 'jakarta', 'simak', 'postingan', 'sobat', 'kreatif', 'tarik', 'join', 'daftar', 'link', 'mimin', 'cantumin', 'detail', 'syarat', 'syarat', 'daftar', 'diklat', 'sobat', 'minat']"
Kabar Insan Oke ,"['balai', 'diklat', 'industri', 'denpasar', 'bulan', 'pilih', 'aparatur', 'hak', 'predikat', '', 'employee', 'of', 'the', 'month', '', 'kriteria', 'pilih', 'aspek', 'disiplin', 'patuh', 'tanggung', 'integritas', 'milik', 'aparatur', 'oktober', 'predikat', '', 'employee', 'of', 'the', 'month', 'bdi', 'denpasar', 'oktober', '', 'i', 'wayan', 'sukardika', 'moga', 'motivasi', 'tingkat', 'hasil', 'karya', 'maju', 'bdi', 'denpasar', 'industri', 'animasi', 'indonesia']"
Kabar Insan Oke ,"['tanggal', 'oktober', 'kemarin', 'lembaga', 'sertifikasi', 'profesi', 'lsp', 'bdi', 'denpasar', 'laksana', 'witness', 'uji', 'kompetensi', 'aju', 'enam', 'skema', 'sertifikasi', 'desainer', 'grafis', 'muda', 'database', 'programmer', 'database', 'administrator', 'junior', 'web', 'programmer', 'junior', 'web', 'developer', 'junior', 'mobile', 'programmer', 'giat', 'saksi', 'langsung', 'tim', 'asesor', 'lisensi', 'badan', 'nasional', 'sertifikasi', 'profesi', 'bnsp', 'moga', 'bdi', 'denpasar', 'selenggara', 'enam', 'paket', 'diklat', 'in']"
Inbis Tohpati,"['daftar', 'creative', 'business', 'incubator', 'bcic', 'kabar', 'gembira', 'sobat', 'ikm', 'indonesia', 'inkubator', 'bisnis', 'kreatif', 'cbi', 'hadir', 'kembang', 'bisnis', 'ikut', 'latih', 'cbi', 'bcic', 'cbi', 'wadah', 'kembang', 'usaha', 'inkubator', 'bisnis', 'sobat', 'ikm', 'bidang', 'kriya', 'fesyen', 'bagi', 'wawas', 'inspirasi', 'ide', 'ide', 'bisnis', 'arah', 'mentor', 'profesional', 'alam', 'lewat', 'sempat', 'daftar', 'bisnis', 'website', 'bcic', 'ikmnet', 'hubung', 'narahubung', 'tera']"
Agenda,"['balai', 'diklat', 'industri', 'denpasar', 'selasa', 'november',  'kelas', 'diklat', 'in', '', 'junior', 'web', 'programmer', 'angkat', 'iii', '', 'bekerjasama', 'mitra', 'studio', 'rangka', 'diklat',  'langsung', 'laboratorium', 'komputer', 'labkom', 'b', 'lantai', 'bdi', 'denpasar', 'tatap', 'muka', 'diklat', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Agenda,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'inkubator', 'bisnis', 'tohpati', 'selenggara', 'talent', 'camp', 'kelas', 'game', 'developer', 'tanggal', 'sd', 'september', 'tempat', 'gedung', 'animasi', 'promosi', 'lantai', 'kelas', 'ikut', 'orang', 'serta', 'kelas', 'game', 'developer', 'serta', 'kenal', 'dasar', 'teori', 'game', 'design', 'game', 'industry', 'kenal', 'godot', 'game', 'engine', 'ajar', 'instalasi', 'software', 'kenal', 'user', 'interface', 'godot', 'dasar', 'scripting', 'gdscript', 'teori', 'serta', 'ajak', 'praktik', 'project', 'game', 'sederhana', 'pong', 'breakout', 'game', 'flappy', 'bird', 'game', 'd', 'platformer', 'kelas', 'serta', 'presentasi', 'game', 'final', 'project', 'evaluasi', 'mentor', 'slab', 'games', 'harap', 'kelas', 'game', 'developer', 'serta', 'hasil', 'selesai', 'proyek', 'game', 'sederhana', 'main', 'perangkat', 'pc', 'mobile']"
Inbis Tohpati,"['workshop', 'luk', 'media', 'kain', 'apparel', 'luk', 'media', 'kanvas', 'jadi', 'hias', 'dinding', 'variasi', 'media', 'lho', 'sob', 'media', 'kain', 'apparel', 'jaket', 'denim', 'topi', 'masker', 'media', 'fashion', 'tampil', 'keren', 'gaya', 'personal', 'eksklusif', 'gambar', 'lukis', 'hasil', 'karya', 'kamis', 'sd', 'jumat', 'oktober', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'bikin', 'makerspace', 'selenggara', 'workshop', 'luk', 'media', 'kain', 'apparel', 'ajar', 'luk', 'media', 'jaket', 'topi', 'masker', 'serta', 'ajar', 'fotografi', 'produk', 'teknik', 'marketing', 'sosial', 'media']"
Kabar Insan Oke ,"['balai', 'diklat', 'industri', 'denpasar', 'kamis', 'jumat', 'oktober',  'kelas', 'workshop', '', 'luk', 'media', 'kain', 'apparel', '', 'workshop',  'langsung', 'bikin', 'makerspace', 'bdi', 'denpasar', 'tatap', 'muka', 'workshop', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Kabar Insan Oke ,"['selamat', 'serta', 'pilih', 'tohpati', 'talent', 'camp', 'kelas', 'internet', 'of', 'things', 'lolos', 'kecil', 'hati']"
Agenda,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'pt', 'jitu', 'kreasi', 'utama', 'yogyakarta',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'maret', 'april', 'tempat', 'youth', 'center', 'yogyakarta', 'yogyakarta', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'sunting', 'film', 'animasi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Kabar Insan Oke ,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'inkubator', 'bisnis', 'tohpati', 'selenggara', 'talent', 'camp', 'kelas', 'game', 'developer', 'tanggal', 'sd', 'september', 'tempat', 'gedung', 'animasi', 'promosi', 'lantai', 'kelas', 'ikut', 'orang', 'serta', 'kelas', 'game', 'developer', 'serta', 'kenal', 'dasar', 'teori', 'game', 'design', 'game', 'industry', 'kenal', 'godot', 'game', 'engine', 'ajar', 'instalasi', 'software', 'kenal', 'user', 'interface', 'godot', 'dasar', 'scripting', 'gdscript', 'teori', 'serta', 'ajak', 'praktik', 'project', 'game', 'sederhana', 'pong', 'breakout', 'game', 'flappy', 'bird', 'game', 'd', 'platformer', 'kelas', 'serta', 'presentasi', 'game', 'final', 'project', 'evaluasi', 'mentor', 'slab', 'games', 'harap', 'kelas', 'game', 'developer', 'serta', 'hasil', 'selesai', 'proyek', 'game', 'sederhana', 'main', 'perangkat', 'pc', 'mobile']"
pengumuman,"['sobat', 'kreatif', 'tunggu', 'buka', 'diklat', 'in', 'animasi', 'sleman', 'malang', 'jakarta', 'simak', 'postingan', 'sobat', 'kreatif', 'tarik', 'join', 'daftar', 'link', 'mimin', 'cantumin', 'detail', 'syarat', 'syarat', 'daftar', 'diklat', 'sobat', 'minat']"
Kabar Insan Oke ,"['bentuk', 'tim', 'tangguh', 'tentu', 'faktor', 'kuat', 'personal', 'tim', 'rangka', 'bentuk', 'personal', 'personal', 'tim', 'karakter', 'fisik', 'mental', 'emosional', 'motivasi', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'inkubasi', 'bisnis', 'tohpati', 'selenggara', 'character', 'building', 'startup', 'selasa', 'giat', 'ikut', 'tenant', 'bina', 'startup', 'bdi', 'denpasar', 'harap', 'giat', 'character', 'building', 'tenant', 'startup', 'lingkung', 'bdi', 'denpasar', 'tim', 'solid', 'depan']"
Kabar Insan Oke ,"['putus', 'strategi', 'langkah', 'langkah', 'ambil', 'ambil', 'putus', 'dasar', 'analisa', 'kuat', 'informasi', 'informasi', 'data', 'data', 'milik', 'data', 'data', 'analis', 'kumpul', 'informasi', 'informasi', 'butuh', 'simpul', 'putus', 'ambil', 'tahu', 'dasar', 'dasar', 'olah', 'data', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'inkubasi', 'bisnis', 'tohpati', 'selenggara', 'tohpati', 'talent', 'camp', 'kelas', 'data', 'analytics', 'tanggal', 'sd', 'september', 'kelas', 'serta', 'kenal', 'python', 'data', 'analytics', 'instalasi', 'python', 'kenal', 'virtual', 'environment', 'cabang', 'ulang', 'bahasa', 'pyton', 'fungsi', 'bahasa', 'python', 'kenal', 'python', 'serta', 'ajar', 'manipulasi', 'data', 'pandas', 'visualisasi', 'data', 'matplotlib', 'kenal', 'tools', 'tools', 'data', 'analytics', 'serta', 'paham', 'statistika', 'deskriptif', 'konsep', 'statistika', 'dasar', 'cari', 'mean', 'median', 'kuartil', 'modus', 'variasi', 'standar', 'deviasi', 'data', 'kelas', 'serta', 'final', 'presentation', 'final', 'project', 'evaluasi', 'mentor', 'alam', 'harap', 'ikut', 'kelas', 'data', 'analytics', 'serta', 'paham', 'implementasi', 'teknik', 'teknik', 'dasar', 'libraries', 'analisis', 'data', 'temu', 'informasi', 'kandung', 'dalam']"
Kabar Insan Oke ,"['jumat', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'terima', 'kunjung', 'inkubator', 'bisnis', 'teknologi', 'ibt', 'universitas', 'triatma', 'mulya', 'jembrana', 'kunjung', 'industri', 'kali', 'tim', 'ibt', 'universitas', 'triatma', 'mulya', 'terima', 'kepala', 'bdi', 'denpasar', 'zya', 'labiba', 'serta', 'urus', 'inkubator', 'bisnis', 'tohpati', 'center', 'made', 'dwi', 'putra', 'wijaya', 'tuju', 'kunjung', 'manajemen', 'kelola', 'inkubator', 'bisnis', 'profesional', 'inkubator', 'bisnis', 'tohpati', 'center', 'kembang', 'industri', 'digital']"
Kabar Insan Oke ,"['kamis', 'inspektur', 'jenderal', 'menteri', 'industri', 'drs', 'masrokhan', 'mpa', 'jajar', 'kunjung', 'kerja', 'bdi', 'denpasar', 'kunjung', 'kerja', 'kali', 'sosialisasi', 'maturasi', 'sistem', 'kendali', 'intern', 'perintah', 'spip']"
Inbis Tohpati,"['webinar', 'digital', 'health', '', 'e', 'plore', 'business', 'idea', 'insight', 'in', 'digital', 'health', 'industry', 'bdi', 'denpasar', 'business', 'incubator',  'business', 'talk', 'tema', '', 'e', 'plore', 'business', 'idea', 'insight', 'in', 'digital', 'health', 'industry', '', 'hadir', 'narasumber', '', 'nova', 'ariyanto', 'jono', '', 'co', 'founder', 'ceo', 'psikologi', '', 'made', 'dwi', 'putra', 'wijaya', '', 'koordinator', 'bdi', 'denpasar', 'business', 'incubator', 'giat', 'narasumber', 'sharing', 'knowledge', 'inspirasi', 'proses', 'bisnis', '', 'bisnis', 'akhir', 'giat', 'serta', 'bicara', 'giat', 'workshop', 'laksana', 'tanggal', 'jumat', 'februari', '', 'wita', 'live', 'on', 'zoom', 'meeting', 'tunggu', 'ayo', 'gabung', 'daftar', 'link']"
Agenda,"['hallo', 'sobat', 'kreatif', 'balai', 'diklat', 'industri', 'denpasar', 'bulan', 'pilih', 'aparatur', 'hak', 'predikat', '', 'employee', 'of', 'the', 'month', '', 'kriteria', 'pilih', 'aspek', 'disiplin', 'patuh', 'tanggung', 'integritas', 'milik', 'aparatur', 'januari', 'predikat', '', 'employee', 'of', 'the', 'month', 'bdi', 'denpasar', 'januari', '', 'gede', 'suta', 'wiguna', 'moga', 'motivasi', 'tingkat', 'hasil', 'karya', 'maju', 'bdi', 'denpasar', 'industri', 'animasi', 'indonesia']"
pengumuman,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'cv', 'inhouse', 'studio', 'bal',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'sembilan', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'februari', 'maret', 'tempat', 'balai', 'diklat', 'industri', 'denpasar', 'bal', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
pengumuman,"['pandemi', 'covid', 'sebab', 'industri', 'dunia', 'alami', 'lambat', 'tumbuh', 'akibat', 'ganggu', 'aktivitas', 'ekonomi', 'global', 'industri', 'isu', 'bahas', 'kelompok', 'kerja', 'kemendag', 'bkpmid', 'trade', 'investment', 'and', 'industry', 'working', 'group', 'tiiwg', 'salah', 'temu', 'forum', 'g', 'indonesia', 'presidensi', 'g', 'manfaat', 'momen', 'ajak', 'anggota', 'g', 'kolaborasi', 'atas', 'tantang', 'akibat', 'pandemi', 'rumus', 'strategi', 'capai', 'industrialisasi', 'inklusif', 'lanjut', 'cipta', 'ekonomi', 'kuat', 'tangguh', 'hadap', 'krisis']"
Agenda,"['roadshow', 'gera', 'nasional', 'startup', 'digital', 'hadir', 'kolaborasi', 'bdi', 'denpasar', 'startup', 'komunitas', 'bal', 'narasumber', 'inspiratif', 'ajak', 'temu', 'solusi', 'solusi', 'bangun', 'startup', 'digital', 'indonesia', 'ikut', 'tahap', 'tahap', 'program', 'startupdigital', 'berjejaring', 'ajar', 'startup', 'digital', 'ayo', 'daftar', 'diri', 'jumat', 'september', 'wita', 'via', 'zoom', 'link', 'daftar']"
Kabar Insan Oke ,"['instruktur', 'bantu', 'serta', 'diklat', 'kembang', 'ahli', 'instruktur', 'kembang', 'mampu', 'milik', 'update', 'kembang', 'rangka', 'tingkat', 'mampu', 'instruktur', 'latih', 'didik', 'serta', 'diklat', 'balai', 'diklat', 'industri', 'denpasar', 'selenggara', 'diklat', 'training', 'of', 'trainer', 'tot', 'sosial', 'media', 'marketing', 'tanggal', 'sd', 'agustus', 'diklat', 'tot', 'sosial', 'media', 'marketing', 'instruktur', 'milik', 'bdi', 'denpasar', 'dalam', 'materi', 'marketing', 'platform', 'sosial', 'media', 'materi', 'ajar', 'diklat', 'kenal', 'sosial', 'media', 'marketing', 'digital', 'branding', 'sosial', 'media', 'marketing', 'caption', 'rencana', 'konten', 'instruktur', 'ajar', 'me', 'monetisasi', 'akun', 'analisa', 'pasang', 'iklan', 'sosial', 'media', 'harap', 'ikut', 'diklat', 'tot', 'instruktur', 'tingkat', 'mampu', 'bidang', 'sosial', 'media', 'marketing', 'terus', 'ilmu', 'serta', 'diklat', 'diklat', 'bdi', 'denpasar']"
Diklat 3 in 1,"['diklat', 'buat', 'layout', 'animasi', 'dimensi', 'angkat', 'i', 'on', 'site', 'baraka', 'creative', 'studio', 'sumatera', 'barat', 'sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'baraka', 'creative', 'studio', 'provinsi', 'sumatera', 'barat',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'belas', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'januari', 'februari', 'tempat', 'universitas', 'negeri', 'padang', 'kota', 'padang', 'sumatera', 'barat', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Agenda,"['sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'kampoong', 'monster', 'surakarta', 'provinsi', 'jawa',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'delapan', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'januari', 'maret', 'tempat', 'politeknik', 'harap', 'kota', 'tegal', 'jawa', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
pengumuman,"['sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'inidia', 'studio', 'bal',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'januari', 'februari', 'tempat', 'balai', 'diklat', 'industri', 'denpasar', 'bal', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Kabar Insan Oke ,"['sobat', 'kreatif', 'tunggu', 'buka', 'diklat', 'in', 'animasi', 'padang', 'cilacap', 'bandung', 'makassar', 'simak', 'postingan', 'informasi', 'jadwal', 'daftar', 'diklat', 'langsung', 'website', 'bdi', 'denpasarsampai', 'jumpa', 'padang', 'cilacap', 'bandung', 'makassar', 'sobat', 'kreatif', 'diklatin', 'bdidenpasar', 'bdidenpasargoeswbbm',   'bersihmelayani', 'animasi']"
Agenda,"['sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'pt', 'spektrumedia', 'animation', 'studio',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'maret', 'april', 'tempat', 'balai', 'diklat', 'industri', 'denpasar', 'provinsi', 'bal', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'sunting', 'film', 'animasi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
pengumuman,"['diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Kabar Insan Oke ,"['tunggu', 'buka', 'diklat', 'in', 'animasi', 'yogyakarta', 'malang', 'simak', 'postingan', 'sobat', 'kreatif', 'tarik', 'join', 'daftar', 'link', 'mimin', 'cantumin', 'detail', 'syarat', 'syarat', 'daftar', 'diklat', 'sobat', 'minat', 'jumpa', 'yogyakarta', 'malang', 'sobat', 'kreatif', 'diklatin', 'bdidenpasar', 'bdidenpasargoeswbbm',   'bersihmelayani', 'animasi']"
Kabar Insan Oke ,"['ubah', 'passion', 'mu', 'bisnis', 'webinar', 'tanggal', 'selasa', 'april', 'jam', '', 'wita', 'lokasi', 'via', 'zoom', 'clouds', 'meeting']"
Kabar Insan Oke ,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'buka', 'daftar', 'batch', 'diklat', 'in', 'buat', 'gerak', 'animasi', 'dimensi', 'angkat', 'ii', 'on', 'site', 'mocca', 'tanggal', '', 'november', 'junior', 'web', 'programmer', 'angkat', 'iii', 'rangka', 'tanggal', '', 'november', 'minat', 'langsung', 'daftar', 'link', 'daftar']"
pengumuman,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'pt', 'jitu', 'kreasi', 'utama', 'yogyakarta',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'maret', 'april', 'tempat', 'youth', 'center', 'yogyakarta', 'yogyakarta', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'sunting', 'film', 'animasi',  'buru', 'daftar', 'gratis', 'batas', 'pesertadiklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Kabar Insan Oke ,"['selamat', 'serta', 'tohpati', 'talent', 'camp', 'kelas', 'smartphone', 'videography', 'lolos', 'kecil', 'hati']"
Diklat 3 in 1,"['open', 'recruitment', 'diklat', 'in', 'semarang', 'sukoharjo', 'bogor', 'sobat', 'kreatif', 'tunggu', 'buka', 'diklat', 'in', 'animasi', 'bogor', 'semarang', 'sukoharjo', 'simak', 'postingan', 'sobat', 'kreatif', 'tarik', 'join', 'daftar', 'link', 'mimin', 'cantumin', 'detail', 'syarat', 'syarat', 'daftar', 'diklat', 'sobat', 'minat', 'jumpa', 'bogor', 'semarang', 'sukoharjo', 'sobat', 'kreatif']"
Kabar Insan Oke ,"['menteri', 'industri', 'komitmen', 'kuat', 'wujud', 'sistem', 'birokrasi', 'transparan', 'akuntabilitas', 'bebas', 'praktek', 'korupsi', 'kolusi', 'nepotisme', 'kkn', 'salah', 'langkah', 'wujud', 'upaya', 'dorong', 'bangun', 'zona', 'integritas', 'wilayah', 'bebas', 'korupsi', 'wbk', 'wilayah', 'birokrasi', 'bersih', 'layan', 'wbbm', 'satu', 'kerja', 'satker', 'inspektur', 'jenderal', 'menteri', 'industri', 'masrokhan', 'kunjung', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'jl', 'wr', 'supratman', 'no', 'kesiman', 'kertalangu', 'denpasar', 'rabu', 'kunjung', 'rangka', 'bina', 'awal', 'bangun', 'zona', 'integritas', 'satu', 'kerja', 'kemenperin', 'bal', 'kemenperin', 'jalan', 'rangkai', 'langkah', 'strategis', 'bangun', 'zona', 'integritas', 'wujud', 'ubah', 'good', 'and', 'clean', 'governance', 'kemenperin', 'usul', 'kemenpan', 'rb', 'satu', 'kerja', 'oleh', 'predikat', 'wbbm', 'satu', 'kerja', 'predikat', 'wbk', 'bdi', 'denpasar', '', 'sesuai', 'arah', 'menteri', 'industri', 'agus', 'gumiwang', 'kartasasmita', 'tekan', 'komitmen', 'baik', 'jajar', 'birokrasi', 'bersih', 'produktif', 'akuntabel', '', 'arah', 'irjen', 'kemenperin', 'lanjut', 'penandatanganan', 'komitmen', 'bangun', 'zona', 'integritas', 'wbbm', 'wilayah', 'bdi', 'denpasar', 'kunjung', 'fasilitas', 'layan', 'bdi', 'denpasar']"
Kabar Insan Oke ,"['balai', 'diklat', 'industri', 'denpasar',  'kelas', 'workshop', 'kait', 'digital', 'skill', 'plus', 'enterpreneurship', 'butuh', 'era', 'industri', 'ajar', 'mampu', 'teknis', 'bidang', 'rancang', 'ide', 'inovasi', 'bidang',  'kembang', 'skill', 'dunia', 'digital', 'ikut', 'tohpati', 'talent', 'camp', 'workshop', 'laksana', 'offline', 'bdi', 'denpasar', 'detail', 'kelas', 'langsung', 'klik', 'link', 'daftar', 'http']"
pengumuman,"['sobat', 'kreatif', 'sobat', 'kreatif', 'kenal', 'rans', 'si',  'hehe', 'rans', 'animation', 'studio', 'studio', 'animasi', 'diri', 'rans', 'entertainment', 'milik', 'raffi', 'ahmad', 'maret', 'kota', 'semarang', 'jawa', 'rans', 'animation', 'studio', 'rumah', 'produksi', 'film', 'animasi', 'milik', 'rans', 'entertainment', 'hasil', 'film', 'judul', 'si',  'tayang', 'stasiun', 'tv', 'swasta']"
Agenda,"['workshop', 'rajin', 'bambu', 'sosial', 'media', 'marketing', 'buat', 'lampu', 'bamboo', 'kembang', 'desain', 'produk', 'social', 'media', 'marketing']"
Kabar Insan Oke ,"['kamis', 'sd', 'jumat', 'tanggal', 'oktober', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'selenggara', 'giat', 'kembang', 'produktivitas', 'pegawai', 'tema', '', 'changing', 'mindset', 'enhancing', 'productivity', '', 'bantu', 'narasumber', 'alam', 'santysastra', 'pegawai', 'ajak', 'bangkit', 'sugesti', 'positif', 'pikir', 'positif', 'kerja', 'jalan', 'hidup', 'pegawai', 'ajar', 'hadap', 'khawatir', 'takut', 'lebih', 'berani', 'coba', 'tantang', 'moga', 'ikut', 'training', 'pegawai', 'bdi', 'denpasar', 'segar', 'fikiran', 'jasmani', 'lelah', 'motivasi', 'turun', 'produktivitas', 'jaga']"
Kabar Insan Oke ,"['selamat', 'serta', 'pilih', 'tohpati', 'talent', 'camp', 'kelas', 'game', 'developer', 'lolos', 'kecil', 'hati']"
Diklat 3 in 1,"['sobat', 'kreatifbalai', 'diklat', 'industri', 'denpasar', 'selasa', 'november',  'kelas', 'diklat', 'in', '', 'junior', 'web', 'programmer', 'angkat', 'iii', '', 'bekerjasama', 'mitra', 'studio', 'rangka', 'diklat',  'langsung', 'laboratorium', 'komputer', 'labkom', 'b', 'lantai', 'bdi', 'denpasar', 'tatap', 'muka', 'diklat', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Inbis Tohpati,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'hasil', 'harga', 'wilayah', 'bebas', 'korupsi', 'wbk', 'menteri', 'pendayagunaan', 'aparatur', 'negara', 'reformasi', 'birokrasi', 'reformasi', 'birokrasi', 'kemenpan', 'rb', 'bangga', 'bdi', 'denpasar', 'apresiasi', 'tambah', 'semangat', 'elemen', 'bdi', 'denpasar', 'tingkat', 'inovasi', 'layan', 'prima', 'masyarakat', 'totalitas', 'batas', 'layan', 'hati']"
